round_epochs,val_loss,loss,LSTM_dropout,LSTM_n,batch_size,dense_dropout,dense_n
82,680.7161733847541,1414.162228987521,101,400,120,0.22,0
24,7874.0677936949605,33704.58355180369,101,100,120,0.22,0.2
47,583.2298845563616,1387.0671391839148,101,200,30,0.22,0.1
36,264.1216843338162,162.51091701072335,101,100,30,0.22,0.1
45,25640.726807118397,222330.59915058725,201,400,90,0.22,0
58,273.34053597944825,5049.193972184354,401,400,120,0,0.1
67,485.6154093583736,1787.357182649958,101,400,90,0.11,0.2
38,465.0522294315107,3686.552053566747,101,200,90,0.11,0.1
66,701.0918978039766,1041.4331222124547,401,100,30,0.22,0.1
100,49448.07369893591,387194.5913774119,401,400,60,0.11,0
67,672.353604609719,1013.4351526042759,101,200,60,0,0.2
100,398.03531558639617,1350.5553070682806,101,400,90,0.22,0.1
62,1005.2222579090096,46269.645160444634,101,200,60,0.11,0.1
55,318.94370898341947,2719.0631431221163,401,200,90,0.22,0.2
28,7840.295477044093,9785.50210468881,201,100,90,0.22,0.2
83,123.51534778871182,150.99891905816608,401,400,60,0,0.1
