round_epochs,val_loss,loss,LSTM_dropout,LSTM_n,batch_size
100,7921.4805795927105,7898.852284271445,90,200,0
100,33300.675020639675,15056.629315037055,30,200,0.2
54,256.99625410165805,261.6709374549405,60,100,0.1
24,7980.693735857999,9586.655944414586,90,100,0.1
100,7982.1311441261005,12319.705791703807,90,400,0.1
21,7992.62613518224,8507.503703072567,60,100,0
23,8022.153767505504,7996.1828629666525,120,200,0
80,7968.105866493777,7945.001771248427,30,200,0
48,254.92942624922603,724.074489107068,60,100,0.2
53,114.84623504758115,224.33239674408165,120,100,0.2
67,8023.430448110323,8000.0269275639685,30,400,0
21,7988.6228003455235,8773.509585386955,120,200,0.2
100,8020.109193447285,7999.492469326762,90,400,0.2
100,33.39959573465784,33.878929426206035,60,200,0
59,71.23659342189124,75.84080459287503,120,100,0
100,8021.722694949394,13800.798434878356,30,400,0.2
53,27.23258588458694,19.901883267716272,90,100,0
23,7877.31477585884,9245.060339601248,30,200,0.1
