round_epochs,val_loss,loss,LSTM_dropout,LSTM_n,batch_size
50,50.7881445810053,35.07552301003629,30,100,0
100,10.820393885185107,19.600999294511425,60,100,0
100,42.7847971757564,16.502601153098496,90,100,0
25,5359.1320346899465,5701.161594877307,120,100,0
30,948.3799476100974,47.327118387158286,30,200,0
84,368.4712002450006,29.046988986482557,60,200,0
100,68.82845625905375,18.782989348341154,90,200,0
98,15.786569677453684,14.420241669520436,120,200,0
30,182.14408752689621,42.22831399968806,30,400,0
36,248.53635688677227,28.91146592005787,60,400,0
50,760.4769903433066,26.662884872231707,90,400,0
23,3315.4280062263024,3228.82271130453,120,400,0
42,226.29279830544428,58.064071479259724,30,100,0.1
100,12.805731474770026,37.15237725021055,60,100,0.1
23,4743.949617210433,4797.2946674935765,90,100,0.1
36,4107.523556464806,4184.789073969694,120,100,0.1
87,51.66777965747214,62.586625582419785,30,200,0.1
92,166.88368499815581,38.99727325951493,60,200,0.1
22,4039.5723764677105,3367.9728725356545,90,200,0.1
41,2077.895288993701,1304.5640025298867,120,200,0.1
61,329.65195839092456,50.158120033725,30,400,0.1
58,263.75997387313095,36.8003740246664,60,400,0.1
30,3499.7390714820817,105.53049986154441,90,400,0.1
22,4050.001852793236,3577.658665189807,120,400,0.1
50,151.5245326092565,80.16431091615817,30,100,0.2
86,93.93888725086667,66.41834161745622,60,100,0.2
49,1551.788602646083,533.2287464525875,90,100,0.2
24,6495.013576320939,5805.891880112206,120,100,0.2
84,60.307169497596306,66.20507107805085,30,200,0.2
100,34.656777562927125,41.15296537924133,60,200,0.2
42,523.0524780512322,133.88919481495083,90,200,0.2
23,7163.4658977112895,4920.800505977349,120,200,0.2
50,304.0242930074494,57.72360072999992,30,400,0.2
41,853.8433373259005,41.85352312638456,60,400,0.2
100,125.9524759938339,37.04032695053408,90,400,0.2
22,4672.515149140778,3527.2978007681418,120,400,0.2
